ID,図鑑番号,レアリティ,人形,サイズ,レベル,累計経験値,現在経験値,必要経験値,リンク数,開発,解析,最大HP,HP,スキル1,スキル2,スキル3,スキル4,チップ1 ID,チップ1,チップ2 ID,チップ2,好感度,誓約,誓約日,ロック
2672,1001,★★★,スケアクロウ,,100,3255500,-,-,x1,★★★★★,,1091,1091,10,10,5,5,0,,0,,150,誓約,2021-12-19 16:23,ロック
46505,3004,★,イェーガー,XL,97,2856336,25336,112364,x5,★★★★★,◆◆◆◆,590,590,0,0,0,5,0,,0,,100,,,ロック
171365,3001,★,リッパー,XL,1,0,0,100,x5,★,◆◆◆◆,411,411,0,0,0,0,0,,0,,67,,,ロック
171647,1002,★★★,エクスキューショナー,,90,1968000,700,112300,x1,★★★★★,◆,1246,1246,10,10,5,5,0,,0,,50,,,ロック
218815,3008,★,プラウラー,XL,1,0,0,100,x5,★,◆◆◆◆,374,374,0,0,0,0,0,,0,,67,,,ロック
218914,2003,★★,イージス,L,100,3255500,-,-,x5,★★,◆◆◆◆,1106,1106,0,0,3,0,0,,0,,100,,,ロック
218978,2004,★★,ニーマム,XL,100,3255500,-,-,x5,★★★★★,◆◆◆◆,976,976,0,0,5,5,0,,0,,100,,,ロック
219145,1003,★★★,ハンター,,100,3255500,-,-,x1,★★★★★,◆◆,1147,1147,10,10,5,5,1005,倹約勤功,0,,100,,,ロック
273737,2001,★★,ブルート,XL,1,0,0,100,x5,★★,◆◆◆◆,329,329,0,0,1,0,0,,0,,50,,,ロック
273749,3007,★,スカウト,XL,1,0,0,100,x5,★,◆◆◆◆,311,311,0,0,0,0,0,,0,,67,,,ロック
340606,3002,★,ヴェスピド,XL,1,0,0,100,x5,★,◆◆◆◆,376,376,0,0,0,0,0,,0,,67,,,ロック
370525,3003,★,ガード,XL,1,0,0,100,x5,★,◆◆◆◆,553,553,0,0,0,0,0,,0,,50,,,ロック
423059,1004,★★★,イントゥルーダー,,100,3255500,-,-,x1,★★★★★,,1378,1378,10,10,5,5,0,,0,,100,,,ロック
465753,1005,★★★,デストロイヤー,,100,3255500,-,-,x1,★★★★★,◆◆◆◆,1263,1263,10,10,5,5,0,,0,,150,誓約,2021-12-15 21:54,ロック
473994,2008,★★,ガードSWAP,L,81,1302507,35607,33093,x5,★★,◆◆◆◆,1031,1031,0,0,1,0,0,,0,,100,,,ロック
477973,2005,★★,タランチュラ,L,100,3255500,-,-,x5,★★★★★,◆◆◆◆,352,352,0,0,5,5,0,,0,,100,,,ロック
525084,2006,★★,マンティコア,XL,100,3255500,-,-,x1,★★★★★,◆◆◆◆,1604,1604,0,0,5,5,0,,0,,100,,,ロック
575907,3004,★,イェーガー,XL,100,3255500,-,-,x5,★★★★★,◆◆◆◆,598,598,0,0,0,5,0,,0,,100,,,ロック
575924,3005,★,ストライカー,XL,1,0,0,100,x5,★,◆◆◆◆,327,327,0,0,0,0,0,,0,,67,,,ロック
664832,3009,★,ジャガー,XL,100,3255500,-,-,x5,★★★★★,◆◆◆◆,516,516,0,0,0,5,0,,0,,100,,,ロック
707601,1006,★★★,アーキテクト,,100,3255500,-,-,x1,★★★★★,,1263,1263,10,10,5,5,0,,3004,堅守,150,誓約,2022-03-18 12:40,ロック
855888,3009,★,ジャガー,XL,81,1331232,64332,4368,x5,★,◆◆◆◆,369,369,0,0,0,0,0,,0,,100,,,ロック
868812,2010,★★,ヴェスピドSWAP,XL,1,0,0,100,x5,★★,◆◆◆◆,433,433,0,0,1,0,0,,0,,67,,,ロック
868829,2006,★★,マンティコア,XL,97,2835156,4156,133544,x1,★★★★★,◆◆◆◆,1586,1576,0,0,5,5,0,,0,,100,,,ロック
868849,2004,★★,ニーマム,XL,90,1975560,8260,104740,x5,★★★★★,◆◆◆◆,929,929,0,0,5,5,0,,0,,100,,,ロック
868850,1007,★★★,ウロボロス,,90,1977000,9700,103300,x1,★★★★★,,1145,1145,10,10,5,5,0,,0,,50,,,ロック
910155,1008,★★★,アルケミスト,,100,3255500,-,-,x1,★★★★★,◆◆◆,1205,1205,10,10,5,5,1003,奇襲行動,1002,暗視能力,100,,,ロック
916215,2009,★★,リッパーSWAP,L,100,3255500,-,-,x5,★★★★★,◆◆◆◆,1091,1091,0,0,5,5,0,,0,,100,,,ロック
916217,3006,★,ダイナーゲート,XL,92,2217288,20588,99212,x5,★,◆◆◆◆,257,257,0,0,0,0,0,,0,,100,,,ロック
916279,3006,★,ダイナーゲート,XL,81,1328172,61272,7428,x5,★,◆◆◆◆,246,246,0,0,0,0,0,,0,,100,,,ロック
1151998,2011,★★,プラウラーSWAP,L,100,3255500,-,-,x5,★★★★★,◆◆◆◆,945,945,0,0,1,1,0,,0,,100,,,ロック
1152000,2005,★★,タランチュラ,L,92,2294490,97790,22010,x5,★★★★★,◆◆◆◆,338,338,0,0,5,5,0,,0,,100,,,ロック
1152012,2008,★★,ガードSWAP,XL,100,3255500,-,-,x5,★★,◆◆◆◆,1138,1138,0,0,5,0,0,,0,,100,,,ロック
1152026,1009,★★★,ドリーマー,,100,3255500,-,-,x1,★★★★★,,1091,1091,10,10,5,5,0,,0,,150,誓約,2022-05-25 18:55,ロック
1199089,2005,★★,タランチュラ,XL,100,3255500,-,-,x5,★★★★★,◆◆◆◆,356,356,0,0,5,5,0,,0,,100,,,ロック
1247848,2005,★★,タランチュラ,XL,92,2305008,108308,11492,x5,★★★★★,◆◆◆◆,343,343,0,0,5,5,0,,0,,100,,,ロック
1247857,2006,★★,マンティコア,L,100,3255500,-,-,x1,★★★★★,◆◆◆◆,1589,1589,0,0,5,5,0,,0,,100,,,ロック
1247920,1010,★★★,ゲーガー,,90,1971000,3700,109300,x1,★★★★★,,1145,1145,10,10,5,5,0,,0,,50,,,ロック
1341441,2013,★★,ストライカーSWAP,XL,90,2038002,70702,42298,x5,★★★★★,◆◆◆◆,912,912,0,0,5,5,0,,0,,100,,,ロック
1352805,1011,★★★,ジャッジ,,90,1986000,18700,94300,x1,★★★★★,,1251,1251,10,10,5,5,0,,0,,50,,,ロック
1407739,1012,★★★,エージェント,,98,3008982,40282,101218,x1,★★★★★,◆◆◆,1307,1307,10,10,5,5,3001,弱化,3002,闘魂,100,,,ロック
1458832,3010,★,ゴリアテ工場,XL,100,3255500,-,-,x1,★★★★★,◆◆◆◆,1476,1476,0,0,0,5,0,,0,,100,,,ロック
1458880,2010,★★,ヴェスピドSWAP,XL,91,2184288,103988,12412,x5,★★,◆◆◆◆,742,742,0,0,1,0,0,,0,,100,,,ロック
1458882,3010,★,ゴリアテ工場,XL,1,0,0,100,x1,★,◆◆◆◆,836,836,0,0,0,0,0,,0,,50,,,ロック
1458888,2012,★★,ドラグーンSWAP,XL,90,2031420,64120,48880,x5,★★★★★,◆◆◆◆,1239,1239,0,0,5,5,0,,0,,100,,,ロック
1505612,2006,★★,マンティコア,L,100,3255500,-,-,x1,★★★★★,◆◆◆◆,1589,1589,0,0,5,5,0,,0,,100,,,ロック
1586627,2013,★★,ストライカーSWAP,XL,1,0,0,100,x5,★★,◆◆◆◆,435,435,0,0,1,0,0,,0,,50,,,ロック
1651741,2014,★★,イージスSWAP,L,1,0,0,100,x5,★★,◆◆◆◆,791,791,0,0,1,0,0,,0,,50,,,ロック
1681610,2014,★★,イージスSWAP,L,1,0,0,100,x5,★★,◆◆◆◆,791,791,0,0,1,0,0,,0,,50,,,ロック
1681617,2004,★★,ニーマム,XL,97,2956584,125584,12116,x5,★★★★★,◆◆◆◆,962,962,0,0,5,5,0,,0,,100,,,ロック
1787524,1015,★★★,アーキテクト-NVW型,,90,1989000,21700,91300,x1,★★★★★,◆,1309,1309,10,10,5,5,0,,0,,50,,,ロック
1787525,2015,★★,イェーガーSWAP,L,1,0,0,100,x5,★★,◆◆◆◆,349,349,0,0,1,0,0,,0,,50,,,ロック
1808138,2018,★★,サメの楽園,M,76,983340,28540,29860,x1,★★,◆◆◆,656,656,0,0,3,0,0,,0,,100,,,ロック
1808141,3010,★,ゴリアテ工場,XL,1,0,0,100,x1,★,◆◆◆◆,836,836,0,0,0,0,0,,0,,50,,,ロック
1808224,2006,★★,マンティコア,XL,92,2248980,52280,67520,x1,★★,◆◆◆◆,1349,1331,0,0,5,0,0,,0,,100,,,ロック
1869431,1013,★★★,アデリン,,100,3255500,-,-,x1,★★★★★,◆◆,1033,1033,10,10,5,5,0,,0,,50,,,ロック
1974294,2011,★★,プラウラーSWAP,L,1,0,0,100,x5,★★,◆◆◆◆,455,455,0,0,1,0,0,,0,,50,,,ロック
1974440,2015,★★,イェーガーSWAP,L,1,0,0,100,x5,★★,◆◆◆◆,349,349,0,0,1,0,0,,0,,50,,,ロック
1974468,2012,★★,ドラグーンSWAP,M,1,0,0,100,x1,★★,,118,118,0,0,1,0,0,,0,,50,,,ロック
1974470,2013,★★,ストライカーSWAP,XL,1,0,0,100,x5,★★,◆◆◆◆,435,435,0,0,1,0,0,,0,,50,,,ロック
2026178,2017,★★,花嫁ゾンビ,M,1,0,0,100,x4,★★,◆◆◆,394,394,0,0,1,0,0,,0,,50,,,ロック
2067936,3010,★,ゴリアテ工場,XL,91,2184288,103988,12412,x1,★,◆◆◆◆,1178,1178,0,0,0,0,0,,0,,100,,,ロック
2089065,2006,★★,マンティコア,S,1,0,0,100,x1,★★,,507,507,0,0,1,0,0,,0,,50,,,
2089072,2006,★★,マンティコア,M,1,0,0,100,x1,★★,,512,512,0,0,1,0,0,,0,,50,,,
2089075,2004,★★,ニーマム,M,1,0,0,100,x1,★★,,92,92,0,0,1,0,0,,0,,50,,,
2089091,2004,★★,ニーマム,M,1,0,0,100,x1,★★,,92,92,0,0,1,0,0,,0,,50,,,
2089092,1016,★★★,イントゥルーダー-終幕の魔女,,90,1980000,12700,100300,x1,★★★★★,,1177,1177,10,10,5,5,0,,0,,50,,,ロック
2121652,2015,★★,イェーガーSWAP,M,1,0,0,100,x1,★★,,70,70,0,0,1,0,0,,0,,50,,,
2121748,2015,★★,イェーガーSWAP,M,1,0,0,100,x1,★★,,70,70,0,0,1,0,0,,0,,50,,,
2121901,2015,★★,イェーガーSWAP,M,1,0,0,100,x1,★★,,70,70,0,0,1,0,0,,0,,50,,,
2121959,1014,★★★,アリーナ,,100,3255500,-,-,x1,★★★★★,◆◆◆◆,1205,1205,10,10,5,5,3005,軍勢,0,,150,誓約,2022-11-21 00:28,ロック
2143139,3010,★,ゴリアテ工場,XL,1,0,0,100,x1,★,◆◆◆◆,836,836,0,0,0,0,0,,0,,50,,,ロック
2184220,2014,★★,イージスSWAP,L,1,0,0,100,x5,★★,◆◆◆◆,791,791,0,0,1,0,0,,0,,50,,,ロック
2211040,2014,★★,イージスSWAP,L,1,0,0,100,x1,★★,,159,159,0,0,1,0,0,,0,,50,,,
2219287,2012,★★,ドラグーンSWAP,L,1,0,0,100,x1,★★,,119,119,0,0,1,0,0,,0,,50,,,
2219305,2011,★★,プラウラーSWAP,S,1,0,0,100,x1,★★,,90,90,0,0,1,0,0,,0,,50,,,
2219311,2012,★★,ドラグーンSWAP,M,1,0,0,100,x1,★★,,118,118,0,0,1,0,0,,0,,50,,,
2219314,2012,★★,ドラグーンSWAP,L,1,0,0,100,x1,★★,,119,119,0,0,1,0,0,,0,,50,,,
2219323,2011,★★,プラウラーSWAP,L,1,0,0,100,x1,★★,,91,91,0,0,1,0,0,,0,,50,,,
2219330,2011,★★,プラウラーSWAP,M,1,0,0,100,x1,★★,,91,91,0,0,1,0,0,,0,,50,,,
2219335,2011,★★,プラウラーSWAP,XL,1,0,0,100,x1,★★,,92,92,0,0,1,0,0,,0,,50,,,ロック
2219339,2014,★★,イージスSWAP,S,1,0,0,100,x1,★★,,156,156,0,0,1,0,0,,0,,50,,,
2261740,3001,★,リッパー,L,1,0,0,100,x1,★,,82,82,0,0,0,0,0,,0,,50,,,
2261742,3002,★,ヴェスピド,M,1,0,0,100,x1,★,,75,75,0,0,0,0,0,,0,,50,,,
2264082,3001,★,リッパー,M,1,0,0,100,x1,★,,81,81,0,0,0,0,0,,0,,50,,,
2264083,3001,★,リッパー,S,1,0,0,100,x1,★,,81,81,0,0,0,0,0,,0,,50,,,
2271258,3002,★,ヴェスピド,L,1,0,0,100,x1,★,,75,75,0,0,0,0,0,,0,,50,,,
2271259,3005,★,ストライカー,M,1,0,0,100,x1,★,,65,65,0,0,0,0,0,,0,,50,,,
2271260,3003,★,ガード,M,1,0,0,100,x1,★,,110,110,0,0,0,0,0,,0,,50,,,
